video_id,video_upload_date,video_duration_seconds,video_language,video_quality,date,count,days_from_video_upload,daily_delta,max_video_count,max_count_date,min_video_count,min_count_date
1,11/09/2017,16,chineese,480p,30/12/2017,62,110,-30,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,01/01/2018,62,112,-42,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,22/12/2017,64,102,-49,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,09/12/2017,68,89,-56,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,07/12/2017,69,87,-7,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,26/11/2017,71,76,-49,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,30/11/2017,72,80,-16,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,09/01/2018,73,120,-32,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,23/12/2017,73,103,9,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,17/12/2017,73,97,-10,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,04/01/2018,75,115,-1,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,23/11/2017,76,73,-7,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,06/12/2017,76,86,-12,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,03/01/2018,76,114,-34,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,26/10/2017,77,45,-47,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,06/11/2017,77,56,-28,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,29/10/2017,79,48,-28,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,02/10/2017,82,21,-69,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,25/12/2017,82,105,-1,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,24/12/2017,83,104,10,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,16/12/2017,83,96,-37,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,09/11/2017,83,59,-6,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,22/11/2017,83,72,-25,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,26/12/2017,84,106,2,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,01/12/2017,85,81,13,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,20/12/2017,86,100,-23,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,05/12/2017,88,85,-14,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,29/11/2017,88,79,-27,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,08/11/2017,89,58,-31,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,21/10/2017,89,40,-50,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,06/10/2017,90,25,-70,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,12/11/2017,91,62,-1,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,09/10/2017,91,28,-54,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,27/11/2017,91,77,20,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,29/12/2017,92,109,-8,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,22/09/2017,92,11,-5,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,11/11/2017,92,61,-44,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,15/11/2017,92,65,-49,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,10/12/2017,93,90,25,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,06/01/2018,93,117,-14,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,14/09/2017,94,3,-67,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,11/12/2017,96,91,3,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,17/11/2017,97,67,-13,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,21/09/2017,97,10,-14,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,17/09/2017,97,6,-32,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,28/09/2017,97,17,-66,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,02/11/2017,98,52,-11,169,11/09/2017,62,30/12/2017
1,11/09/2017,16,chineese,480p,28/12/2017,100,108,-18,169,11/09/2017,62,30/12/2017
